user_id,items,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,"[0, 592, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591, 593, 579, 594, 595, 596]",0,592,581,582,583,584,585,586,587,588,589,590,591,593,579,594,595,596
1,"[55, 88, 798, 812, 169, 14, 23, 19, 104, 231, 89, 82, 398, 808, 393, 146, 86, 204]",55,88,798,812,169,14,23,19,104,231,89,82,398,808,393,146,86,204
2,"[61, 57, 23, 403, 82, 398, 382, 430, 409, 14, 22, 84, 19, 17, 420, 393, 431, 383]",61,57,23,403,82,398,382,430,409,14,22,84,19,17,420,393,431,383
3,"[399, 804, 134, 580, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591, 0, 592, 593, 594]",399,804,134,580,582,583,584,585,586,587,588,589,590,591,0,592,593,594
4,"[57, 61, 398, 100, 17, 420, 22, 16, 425, 14, 29, 84, 102, 54, 388, 98, 99, 19]",57,61,398,100,17,420,22,16,425,14,29,84,102,54,388,98,99,19
5,"[712, 57, 23, 713, 402, 398, 84, 19, 88, 731, 61, 420, 41, 75, 85, 27, 169, 434]",712,57,23,713,402,398,84,19,88,731,61,420,41,75,85,27,169,434
6,"[398, 9, 57, 61, 409, 23, 22, 430, 14, 29, 19, 396, 55, 395, 84, 17, 15, 388]",398,9,57,61,409,23,22,430,14,29,19,396,55,395,84,17,15,388
7,"[57, 23, 402, 84, 61, 22, 398, 41, 383, 14, 29, 169, 430, 409, 382, 15, 17, 43]",57,23,402,84,61,22,398,41,383,14,29,169,430,409,382,15,17,43
8,"[14, 398, 84, 57, 383, 388, 61, 23, 382, 22, 409, 17, 29, 420, 712, 92, 88, 16]",14,398,84,57,383,388,61,23,382,22,409,17,29,420,712,92,88,16
9,"[54, 61, 57, 398, 14, 84, 394, 9, 23, 430, 31, 25, 420, 22, 41, 55, 17, 396]",54,61,57,398,14,84,394,9,23,430,31,25,420,22,41,55,17,396
10,"[0, 592, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591, 593, 579, 594, 595, 596]",0,592,581,582,583,584,585,586,587,588,589,590,591,593,579,594,595,596
11,"[55, 21, 23, 19, 9, 425, 169, 57, 398, 409, 22, 61, 808, 30, 14, 89, 67, 62]",55,21,23,19,9,425,169,57,398,409,22,61,808,30,14,89,67,62
12,"[57, 14, 22, 383, 395, 84, 19, 388, 420, 398, 29, 92, 17, 61, 67, 382, 23, 27]",57,14,22,383,395,84,19,388,420,398,29,92,17,61,67,382,23,27
13,"[57, 61, 398, 22, 84, 23, 402, 41, 430, 17, 19, 420, 14, 425, 16, 21, 409, 379]",57,61,398,22,84,23,402,41,430,17,19,420,14,425,16,21,409,379
14,"[169, 170, 14, 19, 55, 804, 394, 382, 430, 89, 41, 23, 383, 88, 798, 440, 0, 420]",169,170,14,19,55,804,394,382,430,89,41,23,383,88,798,440,0,420
15,"[61, 57, 398, 22, 430, 84, 17, 14, 100, 402, 393, 409, 23, 18, 16, 420, 19, 12]",61,57,398,22,430,84,17,14,100,402,393,409,23,18,16,420,19,12
